epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1640.67,1.24,1.5052,1.17653,0.94129,0.95642,0.98213,0.62866,1.22232,1.10363,1.2418,0.000664845,0.000664845,0.000664845
2,3266.08,1.21957,0.77829,1.17202,0.94332,0.93434,0.96347,0.61163,1.25691,0.73578,1.25913,0.0012656,0.0012656,0.0012656
3,4882.26,1.21009,0.69054,1.17868,0.97874,0.96433,0.97898,0.64821,1.17865,0.65981,1.20146,0.00180036,0.00180036,0.00180036
4,6479.49,1.19372,0.65256,1.16331,0.95695,0.97544,0.98639,0.64888,1.19496,0.58651,1.20866,0.001703,0.001703,0.001703
5,8027.14,1.17864,0.61554,1.14843,0.9755,0.97797,0.99139,0.68248,1.12294,0.52126,1.15985,0.001604,0.001604,0.001604
6,9550.8,1.14471,0.57251,1.13475,0.97735,0.98393,0.99182,0.68442,1.11901,0.50488,1.16303,0.001505,0.001505,0.001505
7,11265.9,1.13686,0.56202,1.12634,0.98594,0.98389,0.99366,0.69865,1.11179,0.47036,1.14617,0.001406,0.001406,0.001406
8,13014.9,1.12439,0.54551,1.12526,0.99349,0.98199,0.99471,0.69397,1.11109,0.44574,1.14089,0.001307,0.001307,0.001307
9,14666,1.11251,0.52492,1.10954,0.98889,0.98862,0.99284,0.70305,1.093,0.43849,1.1374,0.001208,0.001208,0.001208
10,16324.1,1.10387,0.50941,1.11131,0.99092,0.98538,0.99424,0.72149,1.08075,0.4183,1.12541,0.001109,0.001109,0.001109
